iso_code,continent,location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,total_tests,total_tests_per_thousand,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,median_age,gdp_per_capita,human_development_index,CPI_score_2020,vaccines_used
AFG,Asia,Afghanistan,2021-04-01,56517,2489,1451.821,63.938,0,0,0,0,0,0,0,0,38928341,18.6,1803.987,0.511,19,Beijing CNBG - Inactivated
AFG,Asia,Afghanistan,2021-04-01,56517,2489,1451.821,63.938,0,0,0,0,0,0,0,0,38928341,18.6,1803.987,0.511,19,Pfizer BioNTech - Comirnaty
AFG,Asia,Afghanistan,2021-04-01,56517,2489,1451.821,63.938,0,0,0,0,0,0,0,0,38928341,18.6,1803.987,0.511,19,SII - Covishield
ALB,Europe,Albania,2021-04-01,125506,2241,43611.787,778.72,539484,187.464,155463,0,0,5.4,0,0,2877800,38,11803.431,0.795,36,AstraZeneca - AZD1222
ALB,Europe,Albania,2021-04-01,125506,2241,43611.787,778.72,539484,187.464,155463,0,0,5.4,0,0,2877800,38,11803.431,0.795,36,Pfizer BioNTech - Comirnaty
DZA,Africa,Algeria,2021-04-01,117304,3096,2675.056,70.603,0,0,0,0,0,0,0,0,43851043,29.1,13913.839,0.748,36,Beijing CNBG - Inactivated
DZA,Africa,Algeria,2021-04-01,117304,3096,2675.056,70.603,0,0,0,0,0,0,0,0,43851043,29.1,13913.839,0.748,36,Gamaleya - Sputnik V
DZA,Africa,Algeria,2021-04-01,117304,3096,2675.056,70.603,0,0,0,0,0,0,0,0,43851043,29.1,13913.839,0.748,36,SII - Covishield
AND,Europe,Andorra,2021-04-01,12053,115,155995.6,1488.384,0,0,0,0,0,0,0,0,77265,46.2,NA,0.868,NA,AstraZeneca - AZD1222
AND,Europe,Andorra,2021-04-01,12053,115,155995.6,1488.384,0,0,0,0,0,0,0,0,77265,46.2,NA,0.868,NA,Pfizer BioNTech - Comirnaty
AGO,Africa,Angola,2021-04-01,22399,538,681.519,16.369,0,0,0,0,0,0,0,0,32866268,16.8,5819.495,0.581,27,SII - Covishield
ATG,North America,Antigua and Barbuda,2021-04-01,1147,28,11712.687,285.924,0,0,0,0,0,0,0,0,97928,32.1,21490.943,0.778,NA,AstraZeneca - AZD1222
ATG,North America,Antigua and Barbuda,2021-04-01,1147,28,11712.687,285.924,0,0,0,0,0,0,0,0,97928,32.1,21490.943,0.778,NA,SII - Covishield
ARG,South America,Argentina,2021-04-01,2363251,55941,52289.199,1237.748,7565402,167.392,4023017,3342427,680590,8.9,7.4,1.51,45195777,31.9,18933.907,0.845,42,AstraZeneca - AZD1222
ARG,South America,Argentina,2021-04-01,2363251,55941,52289.199,1237.748,7565402,167.392,4023017,3342427,680590,8.9,7.4,1.51,45195777,31.9,18933.907,0.845,42,Beijing CNBG - Inactivated
ARG,South America,Argentina,2021-04-01,2363251,55941,52289.199,1237.748,7565402,167.392,4023017,3342427,680590,8.9,7.4,1.51,45195777,31.9,18933.907,0.845,42,Gamaleya - Sputnik V
ARG,South America,Argentina,2021-04-01,2363251,55941,52289.199,1237.748,7565402,167.392,4023017,3342427,680590,8.9,7.4,1.51,45195777,31.9,18933.907,0.845,42,SII - Covishield
ARM,Asia,Armenia,2021-04-01,193736,3533,65379.919,1192.278,860046,290.239,0,0,0,0,0,0,2963234,35.7,8787.58,0.776,49,Gamaleya - Sputnik V
AUS,Oceania,Australia,2021-04-01,29333,909,1150.319,35.647,15698886,615.645,744328,0,0,2.92,0,0,25499881,37.9,44648.71,0.944,77,AstraZeneca - AZD1222
AUS,Oceania,Australia,2021-04-01,29333,909,1150.319,35.647,15698886,615.645,744328,0,0,2.92,0,0,25499881,37.9,44648.71,0.944,77,Novavax - Covavax
AUS,Oceania,Australia,2021-04-01,29333,909,1150.319,35.647,15698886,615.645,744328,0,0,2.92,0,0,25499881,37.9,44648.71,0.944,77,Pfizer BioNTech - Comirnaty
AUT,Europe,Austria,2021-04-01,549592,9368,61022.384,1040.149,23805240,2643.147,1721992,1249653,472339,19.12,13.88,5.24,9006400,44.4,45436.686,0.922,76,AstraZeneca - AZD1222
AUT,Europe,Austria,2021-04-01,549592,9368,61022.384,1040.149,23805240,2643.147,1721992,1249653,472339,19.12,13.88,5.24,9006400,44.4,45436.686,0.922,76,Moderna - mRNA-1273
AUT,Europe,Austria,2021-04-01,549592,9368,61022.384,1040.149,23805240,2643.147,1721992,1249653,472339,19.12,13.88,5.24,9006400,44.4,45436.686,0.922,76,Pfizer BioNTech - Comirnaty
AZE,Asia,Azerbaijan,2021-04-01,263961,3593,26033.775,354.368,0,0,856363,558485,297878,8.45,5.51,2.94,10139175,32.4,15847.419,0.756,30,Sinovac - CoronaVac
BHS,North America,Bahamas,2021-04-01,9171,188,23321.161,478.07,0,0,0,0,0,0,0,0,393248,34.3,27717.847,0.814,63,AstraZeneca - AZD1222
BHS,North America,Bahamas,2021-04-01,9171,188,23321.161,478.07,0,0,0,0,0,0,0,0,393248,34.3,27717.847,0.814,63,SII - Covishield
BHR,Asia,Bahrain,2021-04-01,145380,523,85438.089,307.361,3581161,2104.606,775196,517603,257593,45.56,30.42,15.14,1701583,32.4,43290.705,0.852,42,AstraZeneca - AZD1222
